L Rosenfeld,1.0
G Herzberg,1.0
H Barrett,1.0
M Swinyard,1.0
L Lutz,1.0
W Swenson,1.0
B Hall,1.0
J Ball,1.0
A Seifert,1.0
K Campbell,1.0
J Barlow,1.0
G Mulas,1.0
S Gudeman,1.0
H Feuchtgruber,1.0
P Vijh,1.0
C Knauth,1.0
L Meeks,1.0
T Dunham,1.0
L Widicus,1.0
G Andersson,1.0
E Cummins,1.0
D Quénard,1.0
V Ossenkopf,1.0
J Woolf,1.0
J Clouthier,1.0
S Iglesias,1.0
L Pulliam,1.0
C Steimle,1.0
B Charnley,1.0
A Additional,1.0
I First,1.0
O Berné,1.0
N Zack,1.0
M Serna,1.0
M Wright,1.0
W Vlemmings,1.0
L Verheyen,1.0
T Smith,1.0
S Bardeau,1.0
H Foing,1.0
N Crabtree,1.0
I Tanarro,1.0
M Matsuura,1.0
C Albo,1.0
R Medvedev,1.0
L Bourke,1.0
D Riquelme,1.0
S Richards,1.0
P Stecher,1.0
X McGee,1.0
E Bruce,1.0
W Riley,1.0
N Rice,1.0
B Churchwell,1.0
M Mehnringer,1.0
S Shiratori,1.0
A Schmiedeke,1.0
C Henkel,1.0
M Carleton,1.0
A Sievers,1.0
S Miller,1.0
A Agúndez,1.0
C Thum,1.0
C Lemme,1.0
B Changala,1.0
R Mauersberger,1.0
C Hieret,1.0
F Lique,1.0
G Ingalls,1.0
R Monje,1.0
I Vasyunin,1.0
P Ehrenfruend,1.0
J Herrero,1.0
I Peña,1.0
O Krause,1.0
T Shipman,1.0
P Bjerkeli,1.0
Y Fujita,1.0
R Hunter,1.0
R Aladro,1.0
J Jones,1.0
B Klein,1.0
Y Sheffer,1.0
M Smith,1.0
N Rodriguez,1.0
W Brooks,1.0
H MacDonald,1.0
B Loren,1.0
M Cragg,1.0
A Barcia,1.0
C Risacher,1.0
L Highberger,1.0
I Gunn,1.0
D Vasquez,1.0
J Pearson,1.0
J Reilly,1.0
F Colomer,1.0
P Riviere,1.0
A Bell,1.0
C Fortenberry,1.0
J Nyiramahirwe,1.0
L Doménech,1.0
F Stanton,1.0
C Diez,1.0
V Persson,1.0
T Vidal,1.0
Y Golubiatnikov,1.0
N Sastry,1.0
N Sciortino,1.0
S Spezzano,1.0
L Kluge,1.0
K Johnson,1.0
A Stoffels,1.0
I López,1.0
O Asvany,1.0
F Dyubko,1.0
S Schlemmer,1.0
J McCall,1.0
X Huang,1.0
A Faure,1.0
G Mangum,1.0
G Olofsson,1.0
M Newton,1.0
N Matheson,1.0
G Mundy,1.0
M Guelin,1.0
H Takeo,1.0
Y Ohshima,1.0
S Philipp,1.0
J Millar,1.0
M González,1.0
A Ehrenfreund,1.0
E Roeff,1.0
A Martin,1.0
W Looney,1.0
L Barbas,1.0
S Fortman,1.0
C Vastel,1.0
J Stutzki,1.0
R Lucas,1.0
J Markwick,1.0
P Encrenaz,1.0
D Talbi,1.0
T Polehampton,1.0
R Bolaño,1.0
M Winnewisser,1.0
I Kaiser,1.0
A Kovács,1.0
K Yamashita,1.0
G Wlodarczak,1.0
C Yamada,1.0
F Lovas,1.0
R Peng,1.0
M Ikeda,1.0
A Kemball,1.0
H Coudert,1.0
H Nayfeh,1.0
W Moos,1.0
G Wolfire,1.0
D Stork,1.0
I González,1.0
A Galazutidinov,1.0
L Nguyen,1.0
L Domenech,1.0
B Bell,1.0
P Maier,1.0
R Schmidt,1.0
N Brouillet,1.0
A Finneran,1.0
S Gordon,1.0
H Rydbeck,1.0
T Iguchi,1.0
A Weinberger,1.0
M Litvak,1.0
M Harvey,1.0
F Baas,1.0
T Miyaji,1.0
L Ziurys,1.0
A Cardell,1.0
D Gordon,1.0
R McCandliss,1.0
R Rebolo,1.0
R Liseau,1.0
M Charness,1.0
J Owen,1.0
E Alekseev,1.0
D Gerlich,1.0
R Tylenda,1.0
K Altwegg,1.0
R Willis,1.0
S Kalenskii,1.0
J Bernal,1.0
C Henry,1.0
P Solomon,1.0
E Radford,1.0
N Kutner,1.0
L Flygare,1.0
I Malo,1.0
K Akabane,1.0
J Lada,1.0
G Kisliakov,1.0
G Kleinmann,1.0
P Willner,1.0
B Johansson,1.0
C Demuynck,1.0
R Huguenin,1.0
B Höglund,1.0
J Encrenaz,1.0
E Kagi,1.0
I Encrenaz,1.0
C Madden,1.0
N Chin,1.0
F Schuller,1.0
S Meier,1.0
J Klos,1.0
W Werner,1.0
A Musaev,1.0
J Harris,1.0
E Carrasco,1.0
J Ivison,1.0
P Gordon,1.0
A Feldman,1.0
H Baraban,1.0
M Rubin,1.0
L Brogan,1.0
J Armijos,1.0
K Ishibashi,1.0
K Jacobs,1.0
J Thomas,1.0
L Blackman,1.0
K Kakar,1.0
T Little,1.0
T Hirano,1.0
L Destombes,1.0
C Gillett,1.0
B Whiteoak,1.0
A Jiménez,1.0
F Clausset,1.0
I High,1.0
H Kanamori,1.0
K Miyazawa,1.0
D Fields,1.0
R Habbal,1.0
M McCarthy,1.0
K Sellgren,1.0
A Garcí,1.0
L Dedes,1.0
J Drouin,1.0
K Krełowski,1.0
K Takagi,1.0
M Cueto,1.0
S Mata,1.0
L Gomez,1.0
M Tafalla,1.0
L Testi,1.0
A Helton,1.0
U Graf,1.0
I Medvedev,1.0
J Elldér,1.0
F Dickinson,1.0
P Swings,1.0
,0.0
