formula,year,Radio,IR,UV/Vis,authors,total,C,H,N,O,Si,S,Cl,Mg,Na,Al,K,F,P,Li,Fe,disputed,Ti,D,Ar,Cr,V,He,Ca,radical?
CH3CONH2,2006,True,False,False,"['M Hollis', 'J Lovas', 'J Remijan', 'R Jewell', 'V Ilyushin', 'I Kleiner']",9,2.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,False
CH3C6H,2006,True,False,False,"['J Remijan', 'M Hollis', 'E Snyder', 'R Jewell', 'J Lovas']",11,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,False
CH2CNH,2006,True,False,False,"['J Lovas', 'M Hollis', 'J Remijan', 'R Jewell']",6,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,False
CF+,2006,True,False,False,"['A Neufeld', 'P Schilke', 'M Menten', 'G Wolfire', 'H Black', 'F Schuller', 'P Müller', 'S Thorwirth', 'R Güsten', 'S Philipp']",2,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,False
CH3C5N,2006,True,False,False,"['E Snyder', 'M Hollis', 'R Jewell', 'J Lovas', 'A Remijan']",10,6.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,False
C6H-,2006,True,False,False,"['C McCarthy', 'A Gottlieb', 'H Gupta', 'P Thaddeus']",7,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,True
C4H-,2007,True,False,False,"['J Cernicharo', 'M Guélin', 'M Agúndez', 'K Kawaguchi', 'M McCarthy']",5,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,True
HCP,2007,True,False,False,"['M Agúndez', 'J Cernicharo', 'M Guélin']",3,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,False
C8H-,2007,True,False,False,"['S Brünken', 'H Gupta', 'A Gottlieb', 'C McCarthy', 'P Thaddeus', 'J Remijan', 'M Hollis', 'J Lovas', 'A Cordiner', 'J Millar', 'J Markwick', 'R Jewell']",9,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,True
CH2CHCH3,2007,True,False,False,"['N Marcelino', 'J Cernicharo', 'M Agúndez', 'E Roueff', 'M Gerin', 'J Martín', 'R Mauersberger', 'C Thum']",9,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,False
PO,2007,True,False,False,"['D Tenenbaum', 'J Woolf', 'M Ziurys']",2,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,True
CNCHO,2008,True,False,False,"['J Remijan', 'M Hollis', 'J Lovas', 'D Stork', 'R Jewell', 'S Meier']",5,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,False
CCP,2008,True,False,False,"['T Halfen', 'J Clouthier', 'M Ziurys']",3,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,True
C3N-,2008,True,False,False,"['P Thaddeus', 'A Gottlieb', 'H Gupta', 'S Brünken', 'C McCarthy', 'M Agúndez', 'M Guélin', 'J Cernicharo']",4,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,True
NH2CH2CN,2008,True,False,False,"['A Belloche', 'M Menten', 'C Comito', 'P Müller', 'P Schilke', 'S Thorwirth', 'C Hieret']",8,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,False
PH3,2008,True,False,False,"['M Agúndez', 'J Cernicharo', 'R Pardo', 'M Guélin', 'G Phillips', 'D Tenenbaum', 'M Ziurys', 'A Agúndez', 'J Cernicharo', 'L Decin', 'P Encrenaz', 'D Teyssier']",4,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,False
C5N-,2008,True,False,False,"['J Cernicharo', 'M Guélin', 'M Agúndez', 'C McCarthy', 'P Thaddeus']",6,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,True
HCNO,2009,True,False,False,"['N Marcelino', 'J Cernicharo', 'B Tercero', 'E Roueff']",4,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,False
AlO,2009,True,False,False,"['D Tenenbaum', 'M Ziurys']",2,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,True
HOCN,2009,True,False,False,"['S Brünken', 'A Gottlieb', 'C McCarthy', 'P Thaddeus', 'S Brünken', 'A Belloche', 'S Martín', 'L Verheyen', 'M Menten']",4,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,False
C2H5OCHO,2009,True,False,False,"['A Belloche', 'T Garrod', 'P Müller', 'M Menten', 'C Comito', 'P Schilke']",11,3.0,6.0,,2.0,,,,,,,,,,,,,,,,,,,,False
n-C3H7CN,2009,True,False,False,"['A Belloche', 'T Garrod', 'P Müller', 'M Menten', 'C Comito', 'P Schilke']",12,4.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,False
HSCN,2009,True,False,False,"['T Halfen', 'M Ziurys', 'S Brünken', 'A Gottlieb', 'C McCarthy', 'P Thaddeus']",4,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,False
AlOH,2010,True,False,False,"['D Tenenbaum', 'M Ziurys']",3,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,False
CN-,2010,True,False,False,"['M Agúndez', 'J Cernicharo', 'M Guélin', 'C Kahane', 'E Roueff', 'J Klos', 'F Lique', 'N Marcelino', 'R Goicoechea', 'M González', 'A Gottlieb', 'C McCarthy', 'P Thaddeus']",2,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,True
H2O+,2010,True,False,False,['V Ossenkopf'],3,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,True
OH+,2010,True,False,False,"['F Wyrowski', 'M Menten', 'R Güsten', 'A Belloche']",2,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,False
H2Cl+,2010,True,False,False,[],3,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,False
C60,2010,False,True,False,"['J Cami', 'J Bernard', 'E Peeters', 'E Malek', 'K Sellgren', 'W Werner', 'G Ingalls', 'T Smith', 'M Carleton', 'C Joblin']",60,60.0,,,,,,,,,,,,,,,,,,,,,,,False
C70,2010,False,True,False,"['J Cami', 'J Bernard', 'E Peeters', 'E Malek']",70,70.0,,,,,,,,,,,,,,,,,,,,,,,False
C14H10+,2010,True,False,False,"['S Iglesias', 'A Manchado', 'R Rebolo', 'I González', 'A Garcí', 'L Lambert']",24,14.0,10.0,,,,,,,,,,,,,,,,,,,,,,True
KCN,2010,True,False,False,"['L Pulliam', 'C Savage', 'M Agúndez', 'J Cernicharo', 'M Guélin', 'M Ziurys']",3,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,False
SH+,2011,True,False,False,"['M Menten', 'F Wyrowski', 'A Belloche', 'R Güsten', 'L Dedes', 'P Müller']",2,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,False
FeCN,2011,True,False,False,"['N Zack', 'T Halfen', 'M Ziurys']",3,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,True
HOOH,2011,True,False,False,"['P Bergman', 'B Parise', 'R Liseau', 'B Larsson', 'H Olofsson', 'M Menten', 'R Güsten']",4,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,False
O2,2011,True,False,False,"['F Goldsmith', 'B Larsson']",2,,,,2.0,,,,,,,,,,,,,,,,,,,,False
HO2,2012,True,False,False,"['A Additional', 'B Parise', 'P Bergman']",3,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,True
HCl+,2012,True,False,False,"['H Gupta', 'D Neufeld', 'M Gerin', 'D Teyssier', 'J Drouin', 'C Pearson', 'R Monje', 'G Phillips', 'R Goicoechea', 'B Godard', 'E Falgarone', 'A Coutens', 'A Bell']",2,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,True
SH,2012,True,False,False,"['A Neufeld', 'E Falgarone', 'M Gerin', 'B Godard', 'E Herbst', 'G Pineau', 'I Vasyunin', 'R Güsten', 'H Wiesemeyer', 'O Ricken']",2,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,True
trans HCOOCH3,2012,False,False,False,[],8,2.0,4.0,,2.0,,,,,,,,,,,,,,,,,,,,False
HNCNH,2012,True,False,False,"['A McGuire', 'A Loomis', 'M Charness', 'F Corby', 'A Blake', 'M Hollis', 'J Lovas', 'R Jewell', 'J Remijan']",5,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,False
CH3O,2012,True,False,False,"['J Cernicharo', 'N Marcelino', 'E Roueff', 'M Gerin', 'A Jiménez', 'M Muñoz']",5,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,True
l-C3H+,2012,True,False,False,"['I First', 'J Pety', 'P Gratier', 'V Guzmán', 'E Roueff', 'M Gerin', 'R Goicoechea', 'S Bardeau', 'A Sievers', 'A Belloche', 'D Talbi', 'X Huang', 'C Fortenberry', 'S Brünken', 'L Kluge', 'A Stoffels', 'O Asvany', 'S Schlemmer']",4,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,False
C60+,2013,False,True,False,"['O Berné', 'G Mulas', 'C Joblin', 'A Galazutidinov', 'K Krełowski', 'A Musaev', 'P Ehrenfruend', 'H Foing', 'H Foing', 'A Ehrenfreund']",60,60.0,,,,,,,,,,,,,,,,,,,,,,,True
CH3CHNH,2013,True,False,False,"['A Loomis', 'P Zaleski', 'L Steber', 'L Neill', 'T Muckle', 'J Harris', 'M Hollis', 'R Jewell', 'V Lattanzi', 'J Lovas', 'O Martinez', 'C McCarthy', 'J Remijan', 'H Pate']",8,2.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,False
E-HNCHCN,2013,True,False,False,"['P Zaleski', 'A Seifert', 'L Steber', 'T Muckle', 'A Loomis', 'F Corby', 'O Martinez', 'N Crabtree', 'R Jewell', 'M Hollis', 'J Lovas', 'D Vasquez', 'J Nyiramahirwe', 'N Sciortino', 'K Johnson', 'C McCarthy', 'J Remijan', 'H Pate']",6,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,False
TiO,2013,True,False,False,"['T Kamiński', 'A Gottlieb', 'M Menten', 'A Patel', 'H Young', 'S Brünken', 'C McCarthy', 'M Winters', 'L Decin']",2,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,False
TiO2,2013,True,False,False,"['T Kamiński', 'A Gottlieb', 'M Menten', 'A Patel', 'H Young', 'S Brünken', 'C McCarthy', 'M Winters', 'L Decin']",3,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,False
CH3COOCH3,2013,True,False,False,"['B Tercero', 'I Kleiner', 'J Cernicharo', 'L Nguyen', 'A López', 'M Muñoz']",11,3.0,6.0,,2.0,,,,,,,,,,,,,,,,,,,,False
NH3D+,2013,True,False,False,"['J Cernicharo', 'B Tercero', 'A Fuente', 'L Domenech', 'M Cueto', 'E Carrasco', 'J Herrero', 'I Tanarro', 'N Marcelino', 'E Roeff', 'M Gerin', 'J Pearson', 'L Doménech', 'M Cueto', 'J Herrero', 'I Tanarro', 'B Tercero', 'A Fuente', 'J Cernicharo']",5,,3.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,False
C6H5OH,2013,True,False,False,"['L Kolesniková', 'M Daly', 'L Alonso', 'B Tercero', 'J Cernicharo']",13,6.0,6.0,,1.0,,,,,,,,,,,,,,,,,,,,False
HMgNC,2013,True,False,False,"['C Cabezas', 'J Cernicharo', 'L Alonso', 'M Agúndez', 'S Mata', 'M Guélin', 'I Peña']",4,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,False
H2NCO+,2013,True,False,False,"['H Gupta', 'A Gottlieb', 'V Lattanzi', 'C Pearson', 'C McCarthy']",5,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,False
ArH+,2013,True,False,False,"['J Barlow', 'M Swinyard', 'J Owen', 'J Cernicharo', 'L Gomez', 'J Ivison', 'O Krause', 'M Matsuura', 'S Miller', 'G Olofsson', 'T Polehampton']",2,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,False
CH3CH2SH,2014,True,False,False,"['L Kolesniková', 'B Tercero', 'J Cernicharo', 'L Alonso', 'M Daly', 'P Gordon', 'T Shipman']",9,2.0,6.0,,,,1.0,,,,,,,,,,,,,,,,,,False
i-C3H7CN,2014,True,False,False,"['A Belloche', 'T Garrod', 'P Müller', 'M Menten']",12,4.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,False
NO+,2014,True,False,False,"['J Cernicharo', 'S Bailleux', 'E Alekseev', 'A Fuente', 'E Roueff', 'M Gerin', 'B Tercero', 'N Marcelino', 'R Bachiller', 'B Lefloch']",2,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,False
C5S,2014,True,False,False,"['M Agúndez', 'J Cernicharo', 'M Guélin', 'B Bell', 'W Avery', 'A Feldman']",6,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,False
MgCCH,2014,True,False,False,"['M Agúndez', 'J Cernicharo', 'M Guélin', 'J Cernicharo', 'C Cabezas', 'R Pardo', 'M Agúndez', 'C Bermúdez', 'L Velilla', 'F Tercero', 'A López', 'D Gallego', 'P Fonfría', 'G Quintana', 'M Guélin', 'Y Endo']",4,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,True
NCCP,2014,True,False,False,"['M Agúndez', 'J Cernicharo', 'M Guélin']",4,2.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,False
SiH3CN,2014,True,False,False,"['M Agúndez', 'J Cernicharo', 'M Guélin', 'J Cernicharo', 'M Agúndez', 'L Velilla', 'M Guélin', 'R Pardo', 'C Kahane', 'C Marka', 'C Kramer', 'S Navarro', 'G Quintana', 'P Fonfría', 'N Marcelino', 'B Tercero', 'E Moreno', 'S Massalkhi', 'M Santander', 'C McCarthy', 'A Gottlieb', 'L Alonso']",6,1.0,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,False
CCN,2014,True,False,False,"['K Anderson', 'M Ziurys']",3,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,True
HCCO,2015,True,False,False,"['M Agúndez', 'J Cernicharo', 'M Guélin']",4,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,True
SiCSi,2015,True,False,False,"['J Cernicharo', 'C McCarthy', 'A Gottlieb', 'M Agúndez', 'L Velilla', 'H Baraban', 'B Changala', 'M Guélin', 'C Kahane', 'A Martin', 'A Patel', 'J Reilly', 'F Stanton', 'G Quintana', 'S Thorwirth', 'H Young']",3,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,False
C60+,2015,False,False,True,"['K Campbell', 'M Holz', 'D Gerlich', 'P Maier']",60,60.0,,,,,,,,,,,,,,,,,,,,,,,True
NCCNH+,2015,True,False,False,"['M Agúndez', 'J Cernicharo', 'N Marcelino', 'E Roueff', 'A Fuente', 'M Gerin', 'M Guélin', 'C Albo', 'A Barcia', 'L Barbas', 'R Bolaño', 'F Colomer', 'C Diez', 'D Gallego', 'J Gómez', 'I López', 'A López', 'A López', 'I Malo', 'M Serna', 'F Tercero']",5,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,False
CrO,2015,False,False,True,"['T Kamiński', 'E Mason', 'R Tylenda', 'R Schmidt']",2,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,False
CH3NCO,2015,True,False,False,"['T Halfen', 'V Ilyushin', 'M Ziurys', 'J Cernicharo', 'Z Kisiel', 'B Tercero', 'L Kolesniková', 'R Medvedev', 'A López', 'S Fortman', 'M Winnewisser', 'L Alonso', 'C Guillemin']",7,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,False
t-C2H5OCH3,2015,True,False,False,"['B Tercero', 'J Cernicharo', 'A López', 'N Brouillet', 'L Kolesniková', 'A Motiyenko', 'L Margulès', 'L Alonso', 'C Guillemin']",12,3.0,8.0,,1.0,,,,,,,,,,,,,,,,,,,,False
CH3CHCH2O,2016,True,False,False,"['A McGuire', 'B Carroll', 'A Loomis', 'A Finneran', 'R Jewell', 'J Remijan', 'A Blake']",10,3.0,6.0,,1.0,,,,,,,,,,,,,,,,,,,,False
CH3NHCHO,2017,True,False,False,"['A Belloche', 'A Meshcheryakov', 'T Garrod', 'V Ilyushin', 'A Alekseev', 'A Motiyenko', 'L Margulès', 'P Müller', 'M Menten']",9,2.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,False
HC5O    ,2017,True,False,False,"['A McGuire', 'M Burkhardt', 'N Shingledecker', 'V Kalenskii', 'E Herbst', 'J Remijan', 'C McCarthy']",7,5.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,True
CH3Cl,2017,True,False,False,"['C Fayolle', 'K Jørgensen', 'K Altwegg', 'H Calcutt', 'P Müller', 'M Rubin', 'P Bjerkeli', 'L Bourke', 'A Coutens', 'N Drozdovskaya', 'T Garrod', 'W Ligterink', 'V Persson', 'F Wampfler']",5,1.0,3.0,,,,,1.0,,,,,,,,,,,,,,,,,False
CH3SiH3,2017,True,False,False,"['J Cernicharo', 'M Agúndez', 'L Velilla', 'M Guélin', 'R Pardo', 'C Kahane', 'C Marka', 'C Kramer', 'S Navarro', 'G Quintana', 'P Fonfría', 'N Marcelino', 'B Tercero', 'E Moreno', 'S Massalkhi', 'M Santander', 'C McCarthy', 'A Gottlieb', 'L Alonso']",8,1.0,6.0,,,1.0,,,,,,,,,,,,,,,,,,,False
HC7O,2017,True,False,False,"['A Cordiner', 'B Charnley', 'Z Kisiel', 'A McGuire', 'J Kuan', 'A McGuire', 'M Burkhardt', 'N Shingledecker', 'V Kalenskii', 'E Herbst', 'J Remijan', 'C McCarthy']",9,7.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,True
CH3OCH2OH,2017,True,False,False,"['A McGuire', 'N Shingledecker', 'R Willis', 'M Burkhardt', 'A Motiyenko', 'L Brogan', 'R Hunter', 'L Margulès', 'C Guillemin', 'T Garrod', 'E Herbst', 'J Remijan']",10,2.0,6.0,,2.0,,,,,,,,,,,,,,,,,,,,False
S2H,2017,True,False,False,"['A Fuente', 'R Goicoechea', 'J Pety', 'R Martín', 'P Gratier', 'V Guzmán', 'E Roueff', 'C Loison', 'M Muñoz', 'V Wakelam', 'M Gerin', 'P Riviere', 'T Vidal']",3,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,True
c-C6H5CN,2018,True,False,False,"['A McGuire', 'M Burkhardt', 'S Kalenskii', 'N Shingledecker', 'J Remijan', 'E Herbst']",13,7.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,False
NS+,2018,True,False,False,"['J Cernicharo', 'B Lefloch', 'M Agúndez', 'S Bailleux', 'L Margulès', 'E Roueff', 'R Bachiller', 'N Marcelino', 'B Tercero', 'C Vastel', 'E Caux']",2,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,False
HCS,2018,True,False,False,"['M Agúndez', 'N Marcelino', 'J Cernicharo', 'M Tafafa']",3,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,True
HSC,2018,True,False,False,"['M Agúndez', 'N Marcelino', 'J Cernicharo', 'M Tafafa']",3,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,True
NCO,2018,True,False,False,"['N Marcelino', 'M Agúndez', 'J Cernicharo', 'E Roueff', 'M Tafalla']",3,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,True
CNCN,2018,True,False,False,"['M Agúndez', 'N Marcelino', 'J Cernicharo']",4,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,False
Z-HNCHCN,2019,True,False,False,"['M Rivilla', 'J Martín', 'I Jiménez', 'S Zeng', 'S Martín', 'J Armijos', 'R Aladro', 'D Riquelme']",6,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,False
HOCH2CN,2019,True,False,False,"['S Zeng', 'D Quénard', 'I Jiménez', 'J Martín', 'L Testi', 'R Martín']",7,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,False
trans-HONO,2019,True,False,False,"['A Coutens', 'W Ligterink', 'C Loison', 'V Wakelam', 'H Calcutt', 'N Drozdovskaya', 'K Jørgensen', 'P Müller', 'F Wampfler']",4,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,False
VO,2019,False,False,True,"['M Humphreys', 'M Ziurys', 'J Bernal', 'S Gordon', 'A Helton', 'K Ishibashi', 'J Jones', 'S Richards', 'W Vlemmings']",2,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,True
HeH+,2019,True,False,False,"['R Güsten', 'H Wiesemeyer', 'D Neufeld', 'M Menten', 'U Graf', 'K Jacobs', 'B Klein', 'O Ricken', 'C Risacher', 'J Stutzki']",2,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,False
CaNC,2019,True,False,False,"['J Cernicharo', 'L Velilla', 'M Agúndez', 'R Pardo', 'P Fonfría', 'G Quintana', 'C Cabezas', 'C Bermúdez', 'M Guélin']",3,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,True
(NH2)2CO,2019,True,False,False,"['A Belloche', 'T Garrod', 'P Müller', 'M Menten', 'I Medvedev', 'J Thomas', 'Z Kisiel', 'J Remijan', 'E Snyder', 'A McGuire', 'W Looney', 'N Friedel', 'Y Golubiatnikov', 'J Lovas', 'V Ilyushin', 'A Alekseev', 'F Dyubko', 'J McCall', 'M Hollis']",8,1.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,False
MgC3N      ,2019,True,False,False,"['J Cernicharo', 'C Cabezas', 'R Pardo', 'M Agúndez', 'C Bermúdez', 'L Velilla', 'F Tercero', 'A López', 'D Gallego', 'P Fonfría', 'G Quintana', 'M Guélin', 'Y Endo']",5,3.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,True
MgC4H      ,2019,True,False,False,"['J Cernicharo', 'C Cabezas', 'R Pardo', 'M Agúndez', 'C Bermúdez', 'L Velilla', 'F Tercero', 'A López', 'D Gallego', 'P Fonfría', 'G Quintana', 'M Guélin', 'Y Endo']",6,4.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,True
NH2OH      ,2020,True,False,False,"['M Rivilla', 'J Martín', 'I Jiménez', 'S Martín', 'F Rodríguez', 'A Requena', 'F Rico', 'S Zeng', 'C Briones']",5,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,False
CH3COCH2OH      ,2020,True,False,False,"['Y Zhou', 'H Quan', 'X Zhang']",11,3.0,6.0,,2.0,,,,,,,,,,,,,,,,,,,,False
Z-HNCHCCH      ,2020,True,False,False,"['L Bizzocchi', 'D Prudenzano', 'M Rivilla', 'A Pietropolli', 'M Giuliano', 'P Caselli', 'J Martín', 'I Jiménez', 'S Martín', 'A Requena', 'F Rico', 'S Zeng', 'C Guillemin']",7,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,False
HC4NC      ,2020,True,False,False,"['R Willis', 'A Loomis', 'M Burkhardt', 'N Shingledecker', 'B Charnley', 'A Cordiner', 'S Kalenskii', 'C McCarthy', 'E Herbst', 'J Remijan', 'A McGuire', 'J Cernicharo', 'N Marcelino', 'M Agúndez', 'C Bermúdez', 'C Cabezas', 'B Tercero', 'R Pardo']",7,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,False
HCCCH2CN      ,2020,True,False,False,"['A McGuire', 'M Burkhardt', 'A Loomis', 'N Shingledecker', 'B Charnley', 'A Cordiner', 'E Herbst', 'S Kalenskii', 'E Momjian', 'R Willis', 'J Remijan', 'C McCarthy', 'N Marcelino', 'B Tercero', 'M Agúndez', 'J Cernicharo']",8,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,False
HC3O+,2020,True,False,False,"['J Cernicharo', 'N Marcelino', 'M Agúndez', 'Y Endo', 'C Cabezas', 'C Bermúdez', 'B Tercero']",5,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,False
HC5NH+,2020,True,False,False,"['N Marcelino', 'M Agúndez', 'B Tercero', 'C Cabezas', 'C Bermúdez', 'D Gallego', 'P deVicente', 'J Cernicharo']",8,5.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,False
c-C5H5CN      ,2021,True,False,False,"['C McCarthy', 'A Loomis', 'M Burkhardt', 'N Shingledecker', 'B Charnley', 'A Cordiner', 'E Herbst', 'S Kalenskii', 'R Willis', 'J Remijan', 'A McGuire']",12,6.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,False
HC11N      ,2021,True,False,False,"['A Loomis', 'M Burkhardt', 'N Shingledecker', 'B Charnley', 'A Cordiner', 'E Herbst', 'S Kalenskii', 'R Willis', 'J Remijan', 'C McCarthy', 'A McGuire']",13,11.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,False
HC≡CCH=CHC≡N      ,2021,True,False,False,"['A Loomis', 'M Burkhardt', 'R Cooke', 'A Siebert', 'N Shingledecker', 'A Remijan', 'B Charnley', 'C McCarthy', 'A McGuire']",9,5.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,False
H2C=CHC3N      ,2021,True,False,False,"['A Loomis', 'M Burkhardt', 'R Cooke', 'A Siebert', 'N Shingledecker', 'A Remijan', 'B Charnley', 'C McCarthy', 'A McGuire']",9,5.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,False
HC3S+,2021,True,False,False,"['J Cernicharo', 'C Cabezas', 'Y Endo', 'N Marcelino', 'M Agúndez', 'B Tercero', 'D Gallego']",5,3.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,False
CH3CO+,2021,True,False,False,"['J Cernicharo', 'C Cabezas', 'S Bailleux', 'L Margulès', 'R Motiyenko', 'Y Endo', 'C Bermúdez', 'M Agúndez', 'N Marcelino', 'B Lefloch', 'B Tercero']",6,2.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,False
c-C5H5CN      ,2021,True,False,False,"['B Changala', 'A Loomis', 'M Burkhardt', 'A Cordiner', 'B Charnley', 'C McCarthy', 'A McGuire']",12,6.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,False
C10H7CN      ,2021,True,False,False,"['A McGuire', 'A Loomis', 'M Burkhardt', 'N Shingledecker', 'B Charnley', 'R Cooke', 'A Cordiner', 'E Herbst', 'S Kalenskii', 'A Siebert', 'R Willis', 'J Remijan', 'C McCarthy']",19,11.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,False
C10H7CN      ,2021,True,False,False,"['A McGuire', 'A Loomis', 'M Burkhardt', 'N Shingledecker', 'B Charnley', 'R Cooke', 'A Cordiner', 'E Herbst', 'S Kalenskii', 'A Siebert', 'R Willis', 'J Remijan', 'C McCarthy']",19,11.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,False
CH2CHCCH      ,2021,True,False,False,"['J Cernicharo', 'M Agúndez', 'C Cabezas', 'N Marcelino', 'B Tercero', 'R Pardo', 'D Gallego', 'F Tercero', 'A López']",8,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,False
H2CCCHCCH      ,2021,True,False,False,"['J Cernicharo', 'C Cabezas', 'M Agúndez', 'B Tercero', 'N Marcelino', 'R Pardo', 'F Tercero', 'D Gallego', 'A López', 'P deVicente']",9,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,False
CH2CCH      ,2021,True,False,False,"['M Agúndez', 'C Cabezas', 'B Tercero', 'N Marcelino', 'D Gallego', 'J Cernicharo']",6,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,True
NCS      ,2021,True,False,False,"['J Cernicharo', 'C Cabezas', 'M Agúndez', 'B Tercero', 'R Pardo', 'N Marcelino', 'D Gallego', 'F Tercero', 'A López']",3,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,True
HCCS      ,2021,True,False,False,"['J Cernicharo', 'C Cabezas', 'M Agúndez', 'B Tercero', 'R Pardo', 'N Marcelino', 'D Gallego', 'F Tercero', 'A López']",4,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,True
